TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap,ODTR,GapR,Int,Det
2022-12-14T15:06:27.600Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,105.6,0,GG,2.9,0.9,2,1.125,0.4167,3rd,stop
2022-12-14T15:06:28.400Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,106.4,0,GG,10.2,0.9,9.3,1.125,6.6429,3rd,stop
2022-12-14T15:06:30.500Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,108.5,0,GG,5.6,0.8,4.8,1,1.92,3rd,stop
2022-12-14T15:06:36.100Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,114.1,0,GG,3.3,0.8,2.5,0.8889,0.0951,3rd,stop
2022-12-14T15:06:38.600Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,116.6,0,GG,2.2,0.8,1.4,1,0.0332,3rd,stop
2022-12-14T15:06:39.400Z,82,10,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,117.4,0,GG,27.2,0.9,26.3,,,3rd,stop
2022-12-14T15:06:40.800Z,82,11,G,3,120,2022-12-14T15:04:42Z,2022-12-14T15:04:45.600Z,2022-12-14T15:05:55.200Z,73.2,118.8,0,GG,43,0.8,42.2,,,3rd,stop
2022-12-14T15:07:06.600Z,82,10,R,4,120,2022-12-14T15:06:42Z,2022-12-14T15:06:45.600Z,2022-12-14T15:07:47.900Z,65.9,24.6,41.3,RG,48.8,48.6,0.2,,,3rd,stop
2022-12-14T15:07:23.800Z,82,11,R,4,120,2022-12-14T15:06:42Z,2022-12-14T15:06:45.600Z,2022-12-14T15:07:47.900Z,65.9,41.8,24.1,RG,35.8,33.2,2.6,,,3rd,stop
2022-12-14T15:07:55.400Z,82,10,G,4,120,2022-12-14T15:06:42Z,2022-12-14T15:06:45.600Z,2022-12-14T15:07:47.900Z,65.9,73.4,0,GG,28.7,1.7,27,2.8333,2.6471,3rd,stop
2022-12-14T15:07:59.600Z,82,11,G,4,120,2022-12-14T15:06:42Z,2022-12-14T15:06:45.600Z,2022-12-14T15:07:47.900Z,65.9,77.6,0,GG,65.5,1.6,63.9,,,3rd,stop
2022-12-14T15:08:24.100Z,82,10,G,4,120,2022-12-14T15:06:42Z,2022-12-14T15:06:45.600Z,2022-12-14T15:07:47.900Z,65.9,102.1,0,GG,10.8,0.6,10.2,0.6667,0.4286,3rd,stop
2022-12-14T15:08:34.900Z,82,10,G,4,120,2022-12-14T15:06:42Z,2022-12-14T15:06:45.600Z,2022-12-14T15:07:47.900Z,65.9,112.9,0,GG,24.7,0.9,23.8,,,3rd,stop
2022-12-14T15:08:59.600Z,82,10,R,5,120,2022-12-14T15:08:42Z,2022-12-14T15:08:45.600Z,2022-12-14T15:10:02.500Z,80.5,17.6,62.9,RG,71.2,70.7,0.5,,,3rd,stop
2022-12-14T15:09:05.100Z,82,11,R,5,120,2022-12-14T15:08:42Z,2022-12-14T15:08:45.600Z,2022-12-14T15:10:02.500Z,80.5,23.1,57.4,RG,78.3,68,10.3,,,3rd,stop
2022-12-14T15:10:10.800Z,82,10,G,5,120,2022-12-14T15:08:42Z,2022-12-14T15:08:45.600Z,2022-12-14T15:10:02.500Z,80.5,88.8,0,GG,2.5,1.9,0.6,0.95,0.0221,3rd,stop
2022-12-14T15:10:13.300Z,82,10,G,5,120,2022-12-14T15:08:42Z,2022-12-14T15:08:45.600Z,2022-12-14T15:10:02.500Z,80.5,91.3,0,GG,29.2,2,27.2,,,3rd,stop
2022-12-14T15:10:23.400Z,82,11,G,5,120,2022-12-14T15:08:42Z,2022-12-14T15:08:45.600Z,2022-12-14T15:10:02.500Z,80.5,101.4,0,GG,20.8,0.8,20,,,3rd,stop
2022-12-14T15:10:42.500Z,82,10,Y,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,0.5,50.1,YY,3.5,0.7,2.8,,,3rd,stop
2022-12-14T15:10:44.200Z,82,11,Y,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,2.2,48.4,YY,8.4,0.8,7.6,,,3rd,stop
2022-12-14T15:10:46Z,82,10,R,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,4,46.6,RR,5.6,0.9,4.7,,,3rd,stop
2022-12-14T15:10:51.600Z,82,10,R,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,9.6,41,RG,49.8,49.7,0.1,,,3rd,stop
2022-12-14T15:10:52.600Z,82,11,R,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,10.6,40,RG,53.3,52.4,0.9,,,3rd,stop
2022-12-14T15:11:41.400Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,59.4,0,GG,3,1.8,1.2,1,0.4615,3rd,stop
2022-12-14T15:11:44.400Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,62.4,0,GG,4.4,1.8,2.6,1.125,8.6667,3rd,stop
2022-12-14T15:11:45.900Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,63.9,0,GG,2.5,1.8,0.7,0.6429,3.5,3rd,stop
2022-12-14T15:11:48.400Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,66.4,0,GG,3,2.8,0.2,1.75,0.25,3rd,stop
2022-12-14T15:11:48.800Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,66.8,0,GG,1.9,1.6,0.3,1,0.6,3rd,stop
2022-12-14T15:11:50.700Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,68.7,0,GG,2.1,1.6,0.5,0.5926,0.625,3rd,stop
